Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30
193,189,182,184,187,167,171,173,173,171,171,179,175,,,,,,,,,,,,,,,,,
184,186,183,181,180,173,176,170,173,172,171,171,175,,,,,,,,,,,,,,,,,
217,220,212,217,210,210,201,202,206,202,200,203,206,202,,,,,,,,,,,,,,,,
229,218,218,217,221,206,206,208,208,207,209,204,,,,,,,,,,,,,,,,,,
229,228,219,217,218,224,222,213,212,206,208,208,208,208,209,208,,,,,,,,,,,,,,
232,231,236,225,226,228,224,217,219,215,215,220,218,,,,,,,,,,,,,,,,,
201,188,194,191,186,191,195,188,189,181,185,184,187,187,,,,,,,,,,,,,,,,
211,215,209,205,203,196,203,197,201,198,196,202,,,,,,,,,,,,,,,,,,
216,219,215,213,208,209,204,198,200,200,198,192,200,203,201,,,,,,,,,,,,,,,
224,224,221,221,218,213,218,203,202,204,212,208,206,,,,,,,,,,,,,,,,,
209,211,212,215,206,208,203,209,202,200,208,202,198,203,199,,,,,,,,,,,,,,,
190,191,185,188,185,185,179,178,178,178,178,177,,,,,,,,,,,,,,,,,,
234,230,226,229,222,228,219,216,218,213,218,212,209,214,,,,,,,,,,,,,,,,
207,197,200,195,195,192,190,182,192,187,185,190,189,187,,,,,,,,,,,,,,,,
190,181,182,176,181,176,175,177,177,179,174,179,,,,,,,,,,,,,,,,,,
180,182,181,183,180,181,179,173,172,171,176,179,173,174,,,,,,,,,,,,,,,,
203,210,216,210,208,199,197,200,202,195,196,195,,,,,,,,,,,,,,,,,,
184,187,187,179,183,178,173,176,172,178,175,176,177,180,,,,,,,,,,,,,,,,
189,192,190,185,183,185,178,178,175,177,180,177,178,,,,,,,,,,,,,,,,,
208,197,210,205,202,194,190,193,188,187,192,187,193,192,,,,,,,,,,,,,,,,
199,199,204,201,204,198,197,193,199,196,192,191,197,190,,,,,,,,,,,,,,,,
191,194,189,186,189,185,181,184,188,182,184,184,,,,,,,,,,,,,,,,,,
192,188,196,185,191,184,171,171,168,175,170,169,171,178,182,179,182,,,,,,,,,,,,,
228,232,222,225,225,221,221,216,217,216,218,219,215,219,217,214,213,212,214,,,,,,,,,,,
191,190,194,190,193,191,187,180,182,183,182,185,177,184,184,184,186,185,184,,,,,,,,,,,
249,252,244,254,244,243,233,231,224,220,224,226,226,222,226,229,223,227,220,218,221,215,215,,,,,,,
205,208,208,204,196,190,188,188,189,187,186,189,189,192,192,190,193,,,,,,,,,,,,,
215,221,215,209,209,196,201,189,193,199,193,195,201,202,199,194,194,196,192,193,193,196,,,,,,,,
218,215,214,212,213,214,213,200,202,193,201,200,197,204,206,203,202,203,195,,,,,,,,,,,
216,215,214,215,204,208,207,204,198,200,195,199,194,203,201,201,200,197,205,197,201,197,200,202,202,201,,,,
247,254,246,238,237,233,232,236,229,230,230,227,226,227,221,223,223,227,226,224,,,,,,,,,,
238,246,239,241,235,236,236,235,235,235,233,237,237,229,227,233,229,,,,,,,,,,,,,
