Time,Temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,29.6,0.0888,0.0921,0.0897,0.0935,0.0882,0.0863,0.0873,0.0888,0.0878,0.0917,0.0924,0.089,0.0891,0.1266,0.1418,0.1291,0.1268,0.1354,0.1175,0.1252,0.0905,0.1251,0.112,0.0935,0.1409,0.0922,0.1409,0.0943,0.1181,0.1109,0.1237,0.1263,0.1258,0.1068,0.122,0.0893,0.0927,0.1286,0.1409,0.1318,0.1251,0.1347,0.1261,0.1117,0.1228,0.1131,0.1252,0.0909,0.1768,0.1298,0.1341,0.1271,0.1316,0.1306,0.1217,0.1337,0.117,0.1199,0.1085,0.0922,0.0931,0.1257,0.0935,0.0953,0.1464,0.1364,0.0883,0.1077,0.0978,0.091,0.0921,0.092,0.1729,0.0916,0.0933,0.0926,0.0959,0.0927,0.0881,0.1013,0.1051,0.1097,0.1056,0.0925,0.1079,0.105,0.0882,0.0991,0.1019,0.1007,0.0996,0.103,0.1005,0.1008,0.1039,0.1009
1193.398,30.1,0.0898,0.0926,0.0902,0.093,0.0883,0.0866,0.0899,0.0893,0.088,0.0918,0.0928,0.0898,0.0889,0.1358,0.1443,0.1356,0.1302,0.1342,0.1219,0.1302,0.0902,0.1243,0.1172,0.0949,0.1388,0.0912,0.1444,0.0944,0.1202,0.1117,0.1265,0.1305,0.1293,0.1075,0.1261,0.0892,0.0927,0.1301,0.1341,0.1322,0.126,0.1338,0.1276,0.1131,0.1239,0.1183,0.1301,0.0909,0.1492,0.133,0.1317,0.1205,0.1236,0.1268,0.1216,0.134,0.1258,0.1178,0.1079,0.092,0.0925,0.1273,0.0918,0.0944,0.1327,0.1223,0.0883,0.0927,0.0898,0.0906,0.0918,0.0902,0.1335,0.0918,0.0944,0.0916,0.0913,0.0925,0.0887,0.1007,0.1046,0.1093,0.1052,0.0915,0.1075,0.1044,0.0892,0.0988,0.1015,0.1002,0.0992,0.1024,0.0999,0.1001,0.1034,0.1006
2393.312,30.1,0.0921,0.0948,0.0929,0.0951,0.0915,0.0898,0.0907,0.0921,0.0914,0.0942,0.0943,0.0914,0.092,0.1486,0.1587,0.1484,0.1407,0.1413,0.1311,0.1365,0.0932,0.1328,0.1247,0.0947,0.1284,0.0943,0.1604,0.0979,0.1298,0.1168,0.1368,0.14,0.1384,0.1093,0.1328,0.0892,0.0924,0.1387,0.1446,0.1416,0.1358,0.1379,0.1354,0.1183,0.1323,0.1255,0.1376,0.0909,0.1798,0.1446,0.1426,0.1274,0.1306,0.1349,0.1305,0.1433,0.1349,0.1262,0.1097,0.092,0.0936,0.1356,0.0929,0.0958,0.1455,0.1303,0.0892,0.0925,0.0893,0.0906,0.0916,0.094,0.1504,0.0917,0.0953,0.0925,0.1063,0.0959,0.0925,0.1005,0.1044,0.1091,0.1048,0.0917,0.1068,0.1041,0.0894,0.0987,0.1014,0.1,0.0991,0.1021,0.0997,0.0999,0.1032,0.1005
3593.248,30,0.0933,0.0954,0.0937,0.0956,0.0925,0.0905,0.092,0.0929,0.092,0.0947,0.0945,0.0924,0.0931,0.162,0.1713,0.1588,0.1499,0.1452,0.1376,0.144,0.0938,0.1409,0.1324,0.1039,0.1042,0.0946,0.1758,0.0997,0.1378,0.1238,0.1449,0.1492,0.1491,0.1131,0.1431,0.0902,0.0933,0.1496,0.1578,0.1545,0.1478,0.144,0.1454,0.1253,0.1422,0.1336,0.1457,0.0912,0.1512,0.1579,0.1547,0.1358,0.1375,0.1464,0.1391,0.1559,0.1429,0.1337,0.1111,0.0917,0.092,0.1447,0.0929,0.1,0.1569,0.1387,0.0883,0.0987,0.1113,0.0911,0.0919,0.0945,0.1037,0.0902,0.092,0.0915,0.0902,0.0911,0.0871,0.1003,0.1043,0.1088,0.1046,0.0912,0.1059,0.1035,0.0895,0.0987,0.1012,0.0999,0.099,0.1019,0.0995,0.0996,0.1031,0.1004
4793.155,29.9,0.0938,0.0958,0.094,0.0957,0.093,0.091,0.0921,0.0933,0.0925,0.0951,0.0952,0.0928,0.0947,0.1752,0.1856,0.1722,0.1637,0.1497,0.1467,0.1548,0.0946,0.1489,0.1415,0.1099,0.1419,0.0955,0.192,0.101,0.145,0.1283,0.1564,0.1592,0.1641,0.1162,0.157,0.0923,0.096,0.1622,0.1736,0.1684,0.161,0.1502,0.1573,0.1328,0.1523,0.1447,0.1566,0.0935,0.1751,0.1747,0.17,0.1463,0.1468,0.1602,0.1503,0.1684,0.1547,0.1437,0.1127,0.0917,0.0922,0.1568,0.0924,0.0987,0.1711,0.1495,0.0913,0.1008,0.0988,0.0912,0.0918,0.0909,0.1026,0.0908,0.0936,0.0919,0.0953,0.0961,0.094,0.1002,0.104,0.1087,0.1045,0.0929,0.1058,0.1032,0.0898,0.0986,0.1011,0.0998,0.0988,0.1017,0.0995,0.0996,0.1029,0.1003
5993.093,30,0.0936,0.0955,0.0939,0.0952,0.0926,0.0907,0.0918,0.0929,0.0922,0.0949,0.0948,0.0927,0.094,0.189,0.1981,0.1852,0.1766,0.1527,0.1559,0.1668,0.0943,0.1569,0.1506,0.1029,0.1098,0.0952,0.209,0.1009,0.1515,0.1326,0.1692,0.1694,0.1746,0.1171,0.1668,0.0913,0.0933,0.1732,0.1861,0.1807,0.1715,0.1532,0.1679,0.1394,0.1622,0.1526,0.1637,0.0924,0.1698,0.189,0.1825,0.1533,0.1526,0.1724,0.1591,0.1815,0.1672,0.1553,0.1141,0.0917,0.0926,0.1686,0.0925,0.0978,0.1858,0.1615,0.09,0.0938,0.0899,0.0911,0.0916,0.092,0.147,0.0914,0.0948,0.0917,0.0921,0.093,0.0888,0.1002,0.104,0.1086,0.1044,0.0928,0.1053,0.1028,0.0901,0.0987,0.1011,0.0998,0.0989,0.1017,0.0994,0.0996,0.1028,0.1002
7193.013,30.1,0.0936,0.0955,0.094,0.0952,0.0927,0.0909,0.092,0.0932,0.0924,0.095,0.0951,0.0932,0.0947,0.2068,0.2164,0.2023,0.1924,0.156,0.168,0.1786,0.0946,0.1676,0.1616,0.1018,0.114,0.0956,0.2282,0.1019,0.1604,0.1394,0.1844,0.1832,0.1905,0.1195,0.1814,0.0928,0.0969,0.1898,0.2057,0.1984,0.1871,0.1586,0.1823,0.1472,0.1761,0.1663,0.1761,0.0942,0.1039,0.2102,0.2015,0.1661,0.165,0.1919,0.1743,0.2,0.1845,0.1705,0.1171,0.093,0.092,0.1843,0.0934,0.1012,0.2046,0.1764,0.0959,0.1003,0.0958,0.0911,0.0917,0.0973,0.1373,0.0911,0.0956,0.0939,0.0891,0.0919,0.0877,0.1,0.1037,0.1083,0.1043,0.0913,0.105,0.1026,0.0904,0.0985,0.1009,0.0997,0.0987,0.1017,0.0994,0.0995,0.1027,0.1001
8392.924,30,0.094,0.0957,0.0941,0.0953,0.0929,0.0911,0.0923,0.0934,0.0927,0.0953,0.0953,0.0934,0.095,0.2255,0.2353,0.2206,0.211,0.1603,0.1819,0.1943,0.0947,0.1799,0.1734,0.1006,0.1213,0.0963,0.2494,0.1025,0.1701,0.1463,0.2011,0.1967,0.208,0.1213,0.1962,0.093,0.0966,0.2054,0.2229,0.2152,0.2032,0.1629,0.1983,0.2162,0.1899,0.1789,0.1863,0.0942,0.1074,0.2279,0.2184,0.1757,0.1738,0.2091,0.1874,0.2164,0.2001,0.1847,0.1182,0.0923,0.0928,0.1984,0.0936,0.1007,0.2231,0.1902,0.093,0.097,0.091,0.0912,0.0917,0.0973,0.1419,0.091,0.096,0.0926,0.0904,0.0942,0.0885,0.1,0.1038,0.1083,0.1041,0.0915,0.105,0.1025,0.0905,0.0985,0.1009,0.0995,0.0988,0.1015,0.0993,0.0994,0.1027,0.1001
9592.849,30,0.0938,0.0955,0.094,0.0951,0.0928,0.0909,0.0921,0.0932,0.0925,0.0951,0.095,0.0934,0.0949,0.2454,0.2547,0.2394,0.2355,0.1638,0.1955,0.209,0.0946,0.193,0.1861,0.1035,0.1061,0.096,0.2706,0.1027,0.1785,0.1545,0.2175,0.2123,0.2258,0.1225,0.2109,0.0928,0.0962,0.2216,0.2417,0.2326,0.2194,0.1663,0.2152,0.1816,0.2045,0.1931,0.1975,0.0944,0.1707,0.2479,0.2376,0.1855,0.1829,0.2275,0.2016,0.2353,0.2178,0.2006,0.1188,0.0921,0.0933,0.2138,0.094,0.1004,0.2425,0.2053,0.0902,0.0942,0.0895,0.0909,0.0908,0.0928,0.1287,0.0914,0.0939,0.0918,0.0891,0.0928,0.0876,0.1001,0.1037,0.1081,0.104,0.0918,0.1046,0.1025,0.0908,0.0985,0.1008,0.0994,0.0987,0.1014,0.0993,0.0994,0.1026,0.1001
10792.774,29.9,0.0939,0.0955,0.0939,0.0951,0.0927,0.0911,0.092,0.0931,0.0923,0.0949,0.0949,0.0928,0.0948,0.2681,0.2775,0.2618,0.253,0.1673,0.2104,0.2265,0.0943,0.2082,0.2002,0.1018,0.1207,0.096,0.2945,0.1031,0.1892,0.1616,0.2534,0.23,0.2463,0.1239,0.2283,0.0928,0.0966,0.2405,0.2626,0.2533,0.2367,0.17,0.2343,0.1789,0.2199,0.2076,0.2087,0.0946,0.1077,0.2711,0.2586,0.1972,0.1944,0.2482,0.218,0.2551,0.2391,0.22,0.12,0.0919,0.0926,0.232,0.0931,0.1016,0.2655,0.222,0.0921,0.095,0.0898,0.0912,0.0909,0.0977,0.1194,0.092,0.0964,0.0922,0.0899,0.0933,0.0886,0.1,0.1037,0.108,0.104,0.0919,0.1043,0.1024,0.0912,0.0985,0.1008,0.0994,0.0987,0.1013,0.0992,0.0994,0.1025,0.1
