Time,Temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,29.5,0.095,0.0934,0.0944,0.0903,0.091,0.0869,0.0882,0.0876,0.0873,0.0883,0.0961,0.0943,0.0988,0.1284,0.1186,0.1258,0.1219,0.1185,0.1171,0.1175,0.1112,0.1225,0.1342,0.0933,0.0911,0.1217,0.0903,0.1218,0.1191,0.1215,0.1148,0.1098,0.1204,0.1277,0.1173,0.0922,0.0886,0.1275,0.1087,0.1361,0.1108,0.1071,0.1242,0.1055,0.124,0.1209,0.1374,0.0917,0.1288,0.0921,0.0928,0.0956,0.1243,0.0994,0.1055,0.1196,0.0909,0.127,0.1315,0.0897,0.0919,0.1108,0.1181,0.1048,0.1178,0.1175,0.0875,0.0885,0.0902,0.0971,0.0949,0.0901,0.0989,0.0926,0.0964,0.0942,0.0928,0.0874,0.0875,0.0948,0.0897,0.1048,0.1023,0.0916,0.0958,0.1075,0.1,0.0895,0.0922,0.0871,0.0867,0.0887,0.0882,0.0941,0.0918,0.1008
1193.493,30.1,0.0968,0.0947,0.0962,0.0911,0.0916,0.0878,0.0884,0.0885,0.0881,0.0904,0.0959,0.0948,0.0967,0.1307,0.1216,0.1311,0.1273,0.1223,0.1232,0.121,0.1144,0.1262,0.1336,0.098,0.0908,0.1259,0.0897,0.1274,0.1226,0.1269,0.118,0.1116,0.1234,0.1307,0.1208,0.0919,0.0884,0.1321,0.1118,0.1401,0.1149,0.1088,0.1322,0.107,0.1283,0.1236,0.1389,0.0917,0.0958,0.0913,0.0935,0.0957,0.1289,0.1019,0.1099,0.1152,0.0897,0.1331,0.1371,0.0894,0.0921,0.1166,0.1247,0.1061,0.1248,0.1241,0.0869,0.0883,0.0901,0.0933,0.0935,0.0887,0.0978,0.0921,0.0971,0.0937,0.0909,0.0864,0.0875,0.0942,0.0892,0.1042,0.1015,0.0917,0.0946,0.1071,0.0999,0.0901,0.0953,0.0871,0.0866,0.0888,0.0878,0.0943,0.0914,0.1035
2393.413,30.1,0.0983,0.0966,0.099,0.0944,0.0946,0.0912,0.0915,0.092,0.0904,0.0933,0.0984,0.0972,0.1012,0.1423,0.1324,0.1416,0.1387,0.1338,0.1342,0.1311,0.122,0.1396,0.1484,0.0968,0.0947,0.1358,0.0947,0.1389,0.1335,0.1391,0.1278,0.1208,0.1346,0.1434,0.1323,0.0949,0.0925,0.1448,0.1189,0.1534,0.1237,0.1147,0.145,0.1157,0.14,0.1338,0.1544,0.0945,0.0978,0.0947,0.0971,0.0998,0.1397,0.1054,0.1148,0.1226,0.0909,0.1433,0.1483,0.0893,0.0929,0.1232,0.1347,0.1089,0.1319,0.1315,0.0871,0.089,0.0895,0.0928,0.093,0.0882,0.0994,0.0921,0.0973,0.0936,0.091,0.0872,0.0873,0.0957,0.0893,0.104,0.1013,0.092,0.0942,0.1069,0.0998,0.0902,0.092,0.087,0.0866,0.0887,0.0878,0.0944,0.0913,0.0969
3593.355,30,0.099,0.0971,0.0995,0.0945,0.0948,0.0914,0.092,0.0926,0.0909,0.094,0.0991,0.0981,0.1022,0.1521,0.1401,0.1503,0.1487,0.1428,0.1447,0.1383,0.1267,0.1495,0.1624,0.0972,0.0956,0.1443,0.0956,0.1464,0.1418,0.1495,0.1371,0.1267,0.1445,0.1573,0.142,0.0969,0.0938,0.156,0.1223,0.1644,0.13,0.118,0.1562,0.1216,0.1507,0.1455,0.1693,0.0964,0.1022,0.0957,0.0994,0.102,0.1517,0.1088,0.1222,0.1287,0.0929,0.1554,0.1627,0.0908,0.0945,0.1306,0.1455,0.113,0.1415,0.1418,0.0895,0.0918,0.0909,0.0952,0.0944,0.0911,0.1008,0.0934,0.0989,0.0954,0.0921,0.0879,0.088,0.0981,0.0889,0.104,0.1013,0.092,0.0945,0.1068,0.0998,0.0917,0.0922,0.0872,0.0867,0.0892,0.0878,0.0946,0.0915,0.1021
4793.264,30.1,0.0987,0.0972,0.0995,0.0947,0.0952,0.0915,0.0919,0.0924,0.0909,0.0938,0.0989,0.0982,0.1025,0.1614,0.1481,0.1594,0.1591,0.1533,0.1557,0.1459,0.1313,0.1584,0.1742,0.0977,0.0954,0.1512,0.0959,0.156,0.151,0.1607,0.1457,0.1313,0.1558,0.1692,0.1517,0.0977,0.0939,0.1679,0.1236,0.1778,0.1355,0.1202,0.1694,0.1271,0.162,0.1543,0.1826,0.0969,0.1019,0.0959,0.0995,0.1028,0.1645,0.1101,0.1276,0.1331,0.0932,0.1685,0.1773,0.0911,0.0951,0.1383,0.1564,0.1139,0.1493,0.1517,0.0899,0.0919,0.091,0.0956,0.0947,0.0914,0.1015,0.0936,0.099,0.0954,0.0917,0.0881,0.0883,0.0965,0.0887,0.1037,0.1011,0.0918,0.0948,0.1065,0.0996,0.0916,0.0918,0.087,0.0864,0.0889,0.0876,0.0942,0.091,0.1124
5993.179,30.1,0.0987,0.0972,0.0992,0.0949,0.0952,0.0915,0.092,0.0925,0.0909,0.0942,0.0989,0.0979,0.1023,0.1747,0.1582,0.169,0.1713,0.165,0.1687,0.156,0.136,0.1676,0.1873,0.0996,0.0954,0.1624,0.0952,0.1657,0.1613,0.1726,0.1568,0.1369,0.1668,0.1808,0.1597,0.0951,0.0925,0.1814,0.1247,0.1928,0.1418,0.1214,0.1836,0.1328,0.1738,0.1642,0.1934,0.0936,0.0982,0.0943,0.0979,0.1008,0.1754,0.1099,0.1305,0.1368,0.0907,0.1783,0.1894,0.0891,0.0921,0.1429,0.1644,0.1124,0.1569,0.1586,0.0871,0.0889,0.0891,0.0925,0.0936,0.0878,0.0978,0.0914,0.096,0.0934,0.0921,0.0873,0.0873,0.0954,0.089,0.1037,0.101,0.0917,0.094,0.1065,0.0996,0.0904,0.0914,0.0868,0.0865,0.0885,0.0876,0.0942,0.0912,0.1163
7193.102,30.2,0.0991,0.0974,0.0996,0.0947,0.0952,0.0919,0.092,0.0926,0.091,0.0943,0.099,0.0978,0.1025,0.1892,0.1698,0.181,0.1861,0.1798,0.183,0.1682,0.143,0.1821,0.2047,0.1017,0.0956,0.1753,0.0961,0.179,0.1753,0.1884,0.1705,0.1445,0.1804,0.1978,0.1746,0.0967,0.0936,0.1988,0.1279,0.2121,0.1493,0.1238,0.2,0.1407,0.1886,0.1794,0.2107,0.0956,0.1068,0.0958,0.0998,0.1029,0.1905,0.1123,0.139,0.1446,0.0923,0.1948,0.2097,0.0902,0.0937,0.1541,0.1804,0.1165,0.17,0.172,0.089,0.0915,0.0901,0.0938,0.0933,0.0889,0.1009,0.0926,0.0973,0.0941,0.0913,0.0876,0.0878,0.0995,0.0885,0.1036,0.101,0.0916,0.094,0.1065,0.0995,0.0906,0.0913,0.0869,0.0863,0.0887,0.0876,0.0942,0.0911,0.1145
8393.006,30.1,0.0987,0.0971,0.0993,0.0945,0.095,0.0914,0.0919,0.0925,0.0909,0.0942,0.0987,0.0977,0.1022,0.2051,0.1821,0.195,0.202,0.195,0.1992,0.1812,0.15,0.1962,0.2205,0.0976,0.0951,0.1878,0.0957,0.1924,0.1883,0.2049,0.1841,0.1515,0.1956,0.2135,0.188,0.096,0.0932,0.2172,0.1296,0.231,0.1584,0.1258,0.2178,0.1495,0.2043,0.1926,0.2279,0.0948,0.1129,0.0952,0.0999,0.1029,0.2061,0.1129,0.1466,0.1516,0.0915,0.2108,0.2282,0.0896,0.0931,0.1645,0.1967,0.1178,0.1827,0.1852,0.0885,0.0907,0.0891,0.0934,0.0929,0.0881,0.0987,0.0919,0.0965,0.0938,0.0911,0.0874,0.0873,0.0954,0.0888,0.1036,0.1009,0.0913,0.0937,0.1063,0.0995,0.0902,0.0911,0.0865,0.0863,0.0885,0.0874,0.0941,0.0911,0.1043
9592.964,30.1,0.0992,0.0974,0.0995,0.095,0.0953,0.0917,0.0922,0.0928,0.0912,0.0944,0.0987,0.0977,0.1027,0.2243,0.1979,0.2105,0.2217,0.2119,0.218,0.1952,0.1579,0.2127,0.2406,0.0968,0.0957,0.204,0.0962,0.2084,0.2047,0.2238,0.1996,0.1603,0.2133,0.2333,0.2051,0.0975,0.0939,0.2388,0.1324,0.2521,0.1677,0.1283,0.2358,0.1587,0.2229,0.2108,0.25,0.0966,0.1175,0.096,0.1009,0.104,0.2233,0.1158,0.1556,0.1612,0.0932,0.2317,0.2499,0.0912,0.0952,0.178,0.2143,0.1212,0.1974,0.2008,0.0902,0.0922,0.0907,0.0953,0.0943,0.09,0.1017,0.0937,0.0981,0.0953,0.093,0.0883,0.0891,0.096,0.089,0.1037,0.101,0.0916,0.0946,0.1064,0.0996,0.0918,0.0914,0.0874,0.0867,0.0893,0.0878,0.0944,0.0912,0.0962
10792.865,30.1,0.0989,0.0973,0.0994,0.095,0.0952,0.0916,0.092,0.0925,0.0911,0.0945,0.0989,0.0979,0.1026,0.2449,0.2142,0.2276,0.2412,0.231,0.2381,0.2112,0.1664,0.2304,0.2611,0.0991,0.0958,0.2211,0.0963,0.2258,0.2223,0.2432,0.217,0.1702,0.2323,0.254,0.2215,0.0979,0.0941,0.2605,0.1345,0.2753,0.1776,0.1302,0.2568,0.168,0.2418,0.2283,0.271,0.0966,0.1237,0.0961,0.1014,0.1046,0.2433,0.1175,0.1644,0.1697,0.0936,0.252,0.2715,0.0914,0.0955,0.1915,0.2341,0.1237,0.2136,0.2171,0.0903,0.0923,0.091,0.0955,0.0945,0.0898,0.1019,0.0939,0.0985,0.0958,0.0924,0.0883,0.0888,0.1008,0.0888,0.1035,0.1008,0.0914,0.0946,0.1063,0.0994,0.092,0.0908,0.087,0.0866,0.0892,0.0876,0.0941,0.091,0.12
