Row,Col,Strain,Dose
1,1,0,0
2,1,0,0
3,1,228.1,2
4,1,228.2,2
5,1,0,0
6,1,204.1,40
7,1,228.2,40
8,1,0,0
1,2,223.2,40
2,2,133.2,2
3,2,228.3,2
4,2,204.2,2
5,2,0,0
6,2,0,0
7,2,0,0
8,2,0,0
1,3,534.1,40
2,3,534.2,2
3,3,204.3,2
4,3,133.3,2
5,3,534.1,4
6,3,223.3,40
7,3,204.2,40
8,3,0,0
1,4,133.1,40
2,4,204.1,2
3,4,228.2,2
4,4,223.1,2
5,4,133.1,4
6,4,228.1,40
7,4,133.3,40
8,4,0,0
1,5,534.3,40
2,5,223.3,2
3,5,204.2,2
4,5,223.2,2
5,5,534.3,4
6,5,228.3,40
7,5,223.1,40
8,5,0,0
1,6,133.2,40
2,6,228.1,2
3,6,133.3,2
4,6,534.1,2
5,6,133.2,4
6,6,204.3,40
7,6,223.2,40
8,6,0,0
1,7,534.2,40
2,7,228.3,2
3,7,0,0
4,7,133.1,2
5,7,534.2,4
6,7,0,0
7,7,0,0
8,7,0,0
1,8,204.1,40
2,8,204.3,2
3,8,223.1,2
4,8,534.3,2
5,8,204.1,4
6,8,228.2,4
7,8,534.1,40
8,8,0,0
1,9,223.3,40
2,9,228.2,40
3,9,223.2,2
4,9,133.2,2
5,9,223.3,4
6,9,204.2,4
7,9,133.1,40
8,9,0,0
1,10,228.1,40
2,10,204.2,40
3,10,534.1,2
4,10,534.2,2
5,10,228.1,4
6,10,133.3,4
7,10,534.3,40
8,10,0,0
1,11,228.3,40
2,11,133.3,40
3,11,133.1,2
4,11,204.1,2
5,11,228.3,4
6,11,223.1,4
7,11,133.2,40
8,11,0,0
1,12,204.3,40
2,12,223.1,40
3,12,534.3,2
4,12,223.3,2
5,12,204.3,4
6,12,223.2,4
7,12,534.2,40
8,12,0,0
