Row,Col,Strain,Dose
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,133.1,90
7,1,0,0
8,1,133.1,120
1,2,0,0
2,2,133.1,90
3,2,0,0
4,2,133.1,120
5,2,0,0
6,2,0,0
7,2,0,0
8,2,204.1,120
1,3,0,0
2,3,204.1,90
3,3,0,0
4,3,204.1,120
5,3,0,0
6,3,204.3,90
7,3,0,0
8,3,204.3,120
1,4,0,0
2,4,204.3,90
3,4,0,0
4,4,204.3,120
5,4,0,0
6,4,204.2,90
7,4,0,0
8,4,204.2,120
1,5,0,0
2,5,204.2,90
3,5,0,0
4,5,204.2,120
5,5,0,0
6,5,133.2,90
7,5,0,0
8,5,133.2,120
1,6,0,0
2,6,133.2,90
3,6,133.1,30
4,6,133.2,120
5,6,0,0
6,6,0,0
7,6,133.1,60
8,6,133.3,120
1,7,133.1,30
2,7,133.3,90
3,7,0,0
4,7,133.3,120
5,7,133.1,60
6,7,0,0
7,7,0,0
8,7,0,0
1,8,204.1,30
2,8,0,0
3,8,204.1,30
4,8,0,0
5,8,204.1,60
6,8,133.3,90
7,8,204.1,60
8,8,0,0
1,9,204.3,30
2,9,0,0
3,9,204.3,30
4,9,0,0
5,9,204.3,60
6,9,204.1,90
7,9,204.3,60
8,9,0,0
1,10,204.2,30
2,10,0,0
3,10,204.2,30
4,10,0,0
5,10,204.2,60
6,10,0,0
7,10,204.2,60
8,10,0,0
1,11,133.2,30
2,11,0,0
3,11,133.2,30
4,11,0,0
5,11,133.2,60
6,11,0,0
7,11,133.2,60
8,11,0,0
1,12,133.3,30
2,12,0,0
3,12,133.3,30
4,12,0,0
5,12,133.3,60
6,12,0,0
7,12,133.3,60
8,12,0,0
