Row,Col,Strain,Dose
1,1,0,0
2,1,0,0
3,1,204.3,40
4,1,133.1,40
5,1,0,0
6,1,228.1,2
7,1,133.1,2
8,1,0,0
1,2,228.3,40
2,2,133.3,4
3,2,223.1,40
4,2,228.2,40
5,2,0,0
6,2,0,0
7,2,0,0
8,2,0,0
1,3,204.2,40
2,3,133.2,4
3,3,534.3,40
4,3,223.2,40
5,3,204.2,2
6,3,534.1,2
7,3,228.2,2
8,3,0,0
1,4,204.1,40
2,4,228.1,4
3,4,133.1,4
4,4,223.3,40
5,4,204.1,2
6,4,204.3,2
7,4,223.2,2
8,4,0,0
1,5,534.2,40
2,5,534.1,4
3,5,228.2,4
4,5,228.3,40
5,5,534.2,2
6,5,223.1,2
7,5,223.3,2
8,5,0,0
1,6,133.3,40
2,6,204.3,4
3,6,223.2,4
4,6,204.2,40
5,6,133.3,2
6,6,534.3,2
7,6,228.3,2
8,6,0,0
1,7,133.2,40
2,7,223.1,4
3,7,0,0
4,7,204.1,40
5,7,133.2,2
6,7,0,0
7,7,0,0
8,7,0,0
1,8,228.1,40
2,8,534.3,4
3,8,223.3,4
4,8,534.2,40
5,8,228.1,2
6,8,133.1,2
7,8,204.2,2
8,8,0,0
1,9,534.1,40
2,9,133.1,40
3,9,228.3,4
4,9,133.3,40
5,9,534.1,2
6,9,228.2,2
7,9,204.1,2
8,9,0,0
1,10,204.3,40
2,10,228.2,40
3,10,204.2,4
4,10,133.2,40
5,10,204.3,2
6,10,223.2,2
7,10,534.2,2
8,10,0,0
1,11,223.1,40
2,11,223.2,40
3,11,204.1,4
4,11,228.1,40
5,11,223.1,2
6,11,223.3,2
7,11,133.3,2
8,11,0,0
1,12,534.3,40
2,12,223.3,40
3,12,534.2,4
4,12,534.1,40
5,12,534.3,2
6,12,228.3,2
7,12,133.2,2
8,12,0,0
