Row,Col,Strain,Dose
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,228.3,120
7,1,0,0
8,1,228.3,120
1,2,0,0
2,2,228.3,90
3,2,0,0
4,2,228.3,30
5,2,0,0
6,2,0,0
7,2,0,0
8,2,228.1,120
1,3,0,0
2,3,228.1,90
3,3,0,0
4,3,228.1,30
5,3,0,0
6,3,228.1,120
7,3,0,0
8,3,228.2,120
1,4,0,0
2,4,228.2,90
3,4,0,0
4,4,228.2,30
5,4,0,0
6,4,228.2,120
7,4,0,0
8,4,1001.3,120
1,5,0,0
2,5,1001.3,90
3,5,0,0
4,5,1001.3,30
5,5,0,0
6,5,1001.3,120
7,5,0,0
8,5,1001.2,120
1,6,0,0
2,6,1001.2,90
3,6,228.3,90
4,6,1001.2,30
5,6,0,0
6,6,1001.1,120
7,6,228.3,60
8,6,1001.1,120
1,7,228.3,60
2,7,1001.1,90
3,7,0,0
4,7,1001.1,30
5,7,228.3,30
6,7,0,0
7,7,0,0
8,7,0,0
1,8,228.1,60
2,8,0,0
3,8,228.1,90
4,8,0,0
5,8,228.1,30
6,8,1001.1,120
7,8,228.1,60
8,8,0,0
1,9,228.2,60
2,9,0,0
3,9,228.2,90
4,9,0,0
5,9,228.2,30
6,9,0,0
7,9,228.2,60
8,9,0,0
1,10,1001.3,60
2,10,0,0
3,10,1001.3,90
4,10,0,0
5,10,1001.3,30
6,10,0,0
7,10,1001.3,60
8,10,0,0
1,11,1001.2,60
2,11,0,0
3,11,1001.2,90
4,11,0,0
5,11,1001.2,30
6,11,0,0
7,11,1001.2,60
8,11,0,0
1,12,1001.1,60
2,12,0,0
3,12,1001.1,90
4,12,0,0
5,12,1001.1,30
6,12,0,0
7,12,1001.1,60
8,12,0,0
