Row,Col,Strain,Dose
1,1,228.3,0
2,1,481.2,0
3,1,228.3,0
4,1,481.2,0
5,1,480.1,120
6,1,0,0
7,1,480.1,120
8,1,0,0
1,2,228.1,0
2,2,229.1,0
3,2,228.1,0
4,2,229.1,0
5,2,229.2,120
6,2,0,0
7,2,229.2,120
8,2,0,0
1,3,228.2,0
2,3,481.1,0
3,3,228.2,0
4,3,481.1,0
5,3,480.2,120
6,3,0,0
7,3,480.2,120
8,3,0,0
1,4,1001.3,0
2,4,0,0
3,4,1001.3,0
4,4,0,0
5,4,229.3,120
6,4,0,0
7,4,229.3,120
8,4,0,0
1,5,1001.2,0
2,5,0,0
3,5,1001.2,0
4,5,0,0
5,5,480.3,120
6,5,0,0
7,5,480.3,120
8,5,0,0
1,6,1001.1,0
2,6,0,0
3,6,1001.1,0
4,6,0,0
5,6,481.3,120
6,6,0,0
7,6,481.3,120
8,6,0,0
1,7,480.1,0
2,7,0,0
3,7,480.1,0
4,7,0,0
5,7,481.2,120
6,7,0,0
7,7,481.2,120
8,7,0,0
1,8,229.2,0
2,8,0,0
3,8,229.2,0
4,8,0,0
5,8,229.1,120
6,8,0,0
7,8,229.1,120
8,8,0,0
1,9,480.2,0
2,9,0,0
3,9,480.2,0
4,9,0,0
5,9,481.1,120
6,9,0,0
7,9,481.1,120
8,9,0,0
1,10,229.3,0
2,10,0,0
3,10,229.3,0
4,10,0,0
5,10,0,0
6,10,0,0
7,10,0,0
8,10,0,0
1,11,480.3,0
2,11,0,0
3,11,480.3,0
4,11,0,0
5,11,0,0
6,11,0,0
7,11,0,0
8,11,0,0
1,12,481.3,0
2,12,0,0
3,12,481.3,0
4,12,0,0
5,12,0,0
6,12,0,0
7,12,0,0
8,12,0,0
