Row,Col,Strain
1,1,219.2
2,1,218.3
3,1,221.3
4,1,221.1
5,1,210.2
6,1,217.3
7,1,0
8,1,214.3
1,2,216.3
2,2,212.2
3,2,210.3
4,2,437.2
5,2,437.1
6,2,221.2
7,2,220.1
8,2,212.3
1,3,437.3
2,3,216.1
3,3,213.2
4,3,219.3
5,3,213.3
6,3,215.3
7,3,214.1
8,3,218.2
1,4,215.2
2,4,216.2
3,4,212.1
4,4,0
5,4,218.1
6,4,215.1
7,4,217.1
8,4,219.1
1,5,0
2,5,220.2
3,5,213.1
4,5,214.2
5,5,211.3
6,5,211.1
7,5,210.1
8,5,220.3
1,6,211.2
2,6,217.2
3,6,0
4,6,215.2
5,6,212.2
6,6,212.1
7,6,216.1
8,6,217.1
1,7,216.2
2,7,213.2
3,7,221.1
4,7,211.1
5,7,215.1
6,7,219.1
7,7,220.3
8,7,221.3
1,8,437.1
2,8,218.3
3,8,0
4,8,0
5,8,211.2
6,8,219.2
7,8,214.1
8,8,220.2
1,9,216.3
2,9,219.3
3,9,210.1
4,9,214.2
5,9,210.2
6,9,437.3
7,9,437.2
8,9,213.3
1,10,214.3
2,10,218.2
3,10,215.3
4,10,211.3
5,10,217.2
6,10,210.3
7,10,218.1
8,10,212.3
1,11,221.2
2,11,213.1
3,11,217.3
4,11,220.1
5,11,0
6,11,0
7,11,0
8,11,0
1,12,0
2,12,0
3,12,0
4,12,0
5,12,0
6,12,0
7,12,0
8,12,0
