Time,Temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,26.3,,,,,,,,,,,,,,0.1339,0.1331,0.1705,0.1329,0.151,0.1652,0.1227,0.1596,0.1351,0.1794,,,0.1498,0.1621,0.156,0.1802,0.1302,0.1344,0.147,0.1399,0.1767,0.1453,,,0.2002,0.1523,0.156,0.1403,0.1262,0.1443,0.1641,0.1346,0.1575,0.1711,,,0.1695,0.1664,0.1545,0.1381,0.1392,0.175,0.1625,0.1652,0.1671,0.1595,,,0.1859,0.1081,0.136,0.1578,0.1471,0.1639,0.1628,0.1118,0.1261,0.1872,,,0.1547,0.1329,0.1435,0.1005,0.1041,0.0945,0.093,0.0925,0.0944,0.0911,,,,,,,,,,,,,
1193.296,30,,,,,,,,,,,,,,0.1342,0.1405,0.1797,0.1418,0.155,0.1752,0.1333,0.1659,0.1409,0.1866,,,0.1592,0.1795,0.1693,0.1952,0.1397,0.1404,0.1478,0.1356,0.1673,0.1361,,,0.1666,0.1503,0.1659,0.1536,0.1352,0.14,0.1578,0.1177,0.1448,0.1574,,,0.1717,0.182,0.1478,0.1445,0.1467,0.1718,0.1573,0.1551,0.15,0.1261,,,0.1658,0.1095,0.1465,0.1643,0.1502,0.1732,0.1632,0.0984,0.1098,0.1719,,,0.168,0.1439,0.1517,0.1019,0.1086,0.0954,0.0934,0.0925,0.0915,0.0995,,,,,,,,,,,,,
2393.229,30,,,,,,,,,,,,,,0.1545,0.1551,0.2008,0.1576,0.1703,0.1943,0.1483,0.186,0.1524,0.2076,,,0.178,0.2069,0.1917,0.2231,0.1609,0.1558,0.1647,0.1503,0.191,0.149,,,0.1821,0.1696,0.1862,0.1693,0.1507,0.1559,0.1752,0.1229,0.1561,0.1726,,,0.1941,0.2087,0.1571,0.154,0.1602,0.1914,0.1731,0.1676,0.1597,0.127,,,0.1863,0.1155,0.1625,0.1795,0.1635,0.186,0.178,0.1006,0.1164,0.1917,,,0.1907,0.1637,0.1615,0.1216,0.1173,0.104,0.1038,0.098,0.0964,0.1091,,,,,,,,,,,,,
3593.159,30,,,,,,,,,,,,,,0.1703,0.1726,0.2207,0.1724,0.1855,0.2145,0.1616,0.2076,0.1676,0.2318,,,0.1938,0.2308,0.2135,0.2474,0.1751,0.1696,0.184,0.1663,0.2135,0.1617,,,0.1918,0.1873,0.2078,0.1891,0.165,0.1718,0.1936,0.1287,0.1712,0.191,,,0.2187,0.2388,0.1743,0.1693,0.1786,0.2148,0.1917,0.1866,0.1752,0.135,,,0.2023,0.1217,0.1808,0.2008,0.1794,0.2071,0.1971,0.1046,0.1183,0.2124,,,0.2155,0.1845,0.1764,0.1201,0.1122,0.0981,0.1022,0.0967,0.0961,0.1333,,,,,,,,,,,,,
4793.08,30,,,,,,,,,,,,,,0.1874,0.1864,0.2427,0.1867,0.1994,0.2343,0.175,0.2246,0.1816,0.2531,,,0.208,0.2555,0.2344,0.2719,0.1913,0.1833,0.201,0.1817,0.2346,0.1757,,,0.2109,0.2047,0.2262,0.2083,0.1789,0.1874,0.2123,0.1339,0.1877,0.2082,,,0.2397,0.2667,0.1899,0.1845,0.1942,0.2359,0.2109,0.2049,0.1881,0.1374,,,0.2174,0.1211,0.1975,0.2209,0.1949,0.227,0.2151,0.1113,0.1213,0.2318,,,0.2396,0.2051,0.1922,0.1157,0.1124,0.0997,0.0992,0.0966,0.0956,0.1086,,,,,,,,,,,,,
5993.008,30.1,,,,,,,,,,,,,,0.2066,0.2035,0.2648,0.2037,0.216,0.255,0.1886,0.2447,0.1962,0.2754,,,0.224,0.2791,0.2547,0.2972,0.2113,0.201,0.2212,0.1998,0.2574,0.1957,,,0.2238,0.2231,0.249,0.2273,0.1949,0.2045,0.2323,0.1387,0.2043,0.2268,,,0.2613,0.2972,0.2067,0.1994,0.2131,0.2574,0.2296,0.2234,0.2016,0.1411,,,0.2329,0.1238,0.2144,0.2415,0.2089,0.2485,0.2355,0.1082,0.1226,0.2527,,,0.2655,0.2268,0.2085,0.1132,0.1091,0.0975,0.1001,0.0953,0.0953,0.1063,,,,,,,,,,,,,
7192.903,30,,,,,,,,,,,,,,0.2273,0.2238,0.2903,0.2225,0.2349,0.2792,0.2052,0.2677,0.2162,0.3002,,,0.2432,0.3063,0.2791,0.3252,0.2325,0.2196,0.2418,0.2179,0.2833,0.2147,,,0.2436,0.2434,0.2717,0.2476,0.2124,0.2228,0.2557,0.1429,0.2218,0.2468,,,0.2855,0.3285,0.2251,0.2175,0.2331,0.2816,0.2518,0.2447,0.2189,0.1465,,,0.2525,0.1266,0.2331,0.2635,0.2258,0.2707,0.2574,0.1098,0.1253,0.2741,,,0.2919,0.2511,0.2277,0.1119,0.1071,0.0966,0.0984,0.0952,0.0953,0.1112,,,,,,,,,,,,,
8392.811,30,,,,,,,,,,,,,,0.2509,0.2447,0.3191,0.2428,0.2558,0.3067,0.2247,0.296,0.2363,0.3303,,,0.2643,0.335,0.3052,0.3583,0.2561,0.2409,0.2631,0.2384,0.3131,0.2332,,,0.2618,0.2667,0.298,0.2707,0.2327,0.244,0.2801,0.1482,0.2436,0.2687,,,0.3122,0.3647,0.2457,0.2376,0.2542,0.3087,0.2756,0.2673,0.2374,0.1509,,,0.2739,0.1304,0.2549,0.2875,0.2439,0.296,0.281,0.1094,0.1284,0.3006,,,0.3217,0.2785,0.2495,0.1125,0.1052,0.0968,0.1006,0.1042,0.0956,0.111,,,,,,,,,,,,,
9592.76,30,,,,,,,,,,,,,,0.2768,0.2684,0.3535,0.2659,0.2792,0.3376,0.246,0.324,0.2595,0.3647,,,0.2881,0.3701,0.3341,0.3949,0.2834,0.264,0.2896,0.261,0.3468,0.2543,,,0.2826,0.2935,0.327,0.2956,0.2546,0.2675,0.3076,0.1539,0.267,0.2944,,,0.3438,0.4029,0.2695,0.2617,0.2808,0.3405,0.3028,0.2941,0.2588,0.1563,,,0.2989,0.1345,0.2805,0.3174,0.2658,0.3245,0.3087,0.1117,0.1331,0.3314,,,0.3566,0.3098,0.2739,0.1154,0.1086,0.0984,0.0999,0.0993,0.0964,0.1077,,,,,,,,,,,,,
10792.665,29.9,,,,,,,,,,,,,,0.3041,0.2943,0.3884,0.2917,0.3034,0.3703,0.2694,0.3551,0.2853,0.3999,,,0.3134,0.4061,0.3657,0.4343,0.3151,0.29,0.3163,0.2846,0.3832,0.2763,,,0.3055,0.3237,0.3597,0.3243,0.279,0.2928,0.3377,0.1594,0.2922,0.3216,,,0.3762,0.4449,0.2949,0.2852,0.3085,0.3738,0.3322,0.322,0.2795,0.1611,,,0.3246,0.1378,0.3059,0.3474,0.2861,0.355,0.3378,0.1126,0.1351,0.3629,,,0.3913,0.3413,0.2975,0.1164,0.1065,0.0973,0.0988,0.0973,0.0954,0.1112,,,,,,,,,,,,,
