Row,Col,Strain,Dose
1,1,177,0
2,1,183,0
3,1,385,0
4,1,393,0
5,1,177,0
6,1,183,0
7,1,385,0
8,1,393,0
1,2,0,0
2,2,0,0
3,2,0,0
4,2,0,0
5,2,0,0
6,2,0,0
7,2,0,0
8,2,0,0
1,3,177,2048
2,3,177,256
3,3,177,2048
4,3,177,256
5,3,177,2048
6,3,177,256
7,3,177,2048
8,3,177,256
1,4,183,2048
2,4,183,256
3,4,183,2048
4,4,183,256
5,4,183,2048
6,4,183,256
7,4,183,2048
8,4,183,256
1,5,385,2048
2,5,385,256
3,5,385,2048
4,5,385,256
5,5,385,2048
6,5,385,256
7,5,385,2048
8,5,385,256
1,6,393,2048
2,6,393,256
3,6,393,2048
4,6,393,256
5,6,393,2048
6,6,393,256
7,6,393,2048
8,6,393,256
1,7,0,0
2,7,0,0
3,7,0,0
4,7,0,0
5,7,0,0
6,7,0,0
7,7,0,0
8,7,0,0
1,8,177,512
2,8,177,1024
3,8,177,512
4,8,177,1024
5,8,177,512
6,8,177,1024
7,8,177,512
8,8,177,1024
1,9,183,512
2,9,183,1024
3,9,183,512
4,9,183,1024
5,9,183,512
6,9,183,1024
7,9,183,512
8,9,183,1024
1,10,385,512
2,10,385,1024
3,10,385,512
4,10,385,1024
5,10,385,512
6,10,385,1024
7,10,385,512
8,10,385,1024
1,11,393,512
2,11,393,1024
3,11,393,512
4,11,393,1024
5,11,393,512
6,11,393,1024
7,11,393,512
8,11,393,1024
1,12,0,0
2,12,0,0
3,12,0,0
4,12,0,0
5,12,0,0
6,12,0,0
7,12,0,0
8,12,0,0
