Row,Col,Strain,Dose
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
1,2,0,0
2,2,0,0
3,2,0,0
4,2,0,0
5,2,0,0
6,2,0,0
7,2,0,0
8,2,0,0
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0
5,3,0,0
6,3,0,0
7,3,177,2048
8,3,177,256
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0
5,4,0,0
6,4,0,0
7,4,183,2048
8,4,183,256
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0
5,5,0,0
6,5,0,0
7,5,385,2048
8,5,385,256
1,6,0,0
2,6,0,0
3,6,0,0
4,6,0,0
5,6,0,0
6,6,0,0
7,6,393,2048
8,6,393,256
1,7,0,0
2,7,0,0
3,7,0,0
4,7,0,0
5,7,0,0
6,7,0,0
7,7,0,0
8,7,0,0
1,8,0,0
2,8,0,0
3,8,0,0
4,8,0,0
5,8,0,0
6,8,0,0
7,8,177,512
8,8,177,1024
1,9,0,0
2,9,0,0
3,9,0,0
4,9,0,0
5,9,0,0
6,9,0,0
7,9,183,512
8,9,183,1024
1,10,0,0
2,10,0,0
3,10,0,0
4,10,0,0
5,10,0,0
6,10,0,0
7,10,385,512
8,10,385,1024
1,11,0,0
2,11,0,0
3,11,0,0
4,11,0,0
5,11,0,0
6,11,0,0
7,11,393,512
8,11,393,1024
1,12,0,0
2,12,0,0
3,12,0,0
4,12,0,0
5,12,0,0
6,12,0,0
7,12,0,0
8,12,0,0
