Row,Col,Strain,Dose
1,1,0,0
2,1,0,0
3,1,204.3,512
4,1,204.3,128
5,1,0,0
6,1,204.3,1024
7,1,133.3,256
8,1,204.3,2048
1,2,204.3,4095
2,2,228.1,4095
3,2,1202.3,512
4,2,1202.3,128
5,2,0,0
6,2,0,0
7,2,0,0
8,2,1202.3,2048
1,3,1202.3,4095
2,3,228.1,512
3,3,228.3,512
4,3,228.3,128
5,3,204.3,256
6,3,1202.3,1024
7,3,228.1,256
8,3,228.3,2048
1,4,228.3,4095
2,4,0,0
3,4,204.1,512
4,4,204.1,128
5,4,1202.3,256
6,4,228.3,1024
7,4,133.3,1024
8,4,204.1,2048
1,5,204.1,4095
2,5,0,0
3,5,228.2,512
4,5,228.2,128
5,5,228.3,256
6,5,204.1,1024
7,5,228.1,1024
8,5,228.2,2048
1,6,228.2,4095
2,6,0,0
3,6,133.1,512
4,6,133.1,128
5,6,204.1,256
6,6,228.2,1024
7,6,0,0
8,6,133.1,2048
1,7,133.1,4095
2,7,0,0
3,7,0,0
4,7,1202.2,128
5,7,228.2,256
6,7,0,0
7,7,0,0
8,7,1202.2,2048
1,8,1202.2,4095
2,8,0,0
3,8,1202.2,512
4,8,204.2,128
5,8,133.1,256
6,8,133.1,1024
7,8,0,0
8,8,204.2,2048
1,9,204.2,4095
2,9,0,0
3,9,204.2,512
4,9,1202.1,128
5,9,1202.2,256
6,9,1202.2,1024
7,9,0,0
8,9,1202.1,2048
1,10,1202.1,4095
2,10,0,0
3,10,1202.1,512
4,10,133.2,128
5,10,204.2,256
6,10,204.2,1024
7,10,0,0
8,10,133.2,2048
1,11,133.2,4095
2,11,0,0
3,11,133.2,512
4,11,133.3,128
5,11,1202.1,256
6,11,1202.1,1024
7,11,0,0
8,11,133.3,2048
1,12,133.3,4095
2,12,0,0
3,12,133.3,512
4,12,228.1,128
5,12,133.2,256
6,12,133.2,1024
7,12,0,0
8,12,228.1,2048
