Row,Col,Strain
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
1,2,1
2,2,211.3
3,2,211.2
4,2,220
5,2,213.1
6,2,215.1
7,2,437.3
8,2,1
1,3,1
2,3,212.3
3,3,212.1
4,3,210.2
5,3,213.1
6,3,217
7,3,214.3
8,3,1
1,4,1
2,4,214.2
3,4,437.2
4,4,213.2
5,4,211.3
6,4,210.1
7,4,215.3
8,4,1
1,5,1
2,5,210.1
3,5,213.3
4,5,211.1
5,5,211.2
6,5,213.2
7,5,218
8,5,1
1,6,1
2,6,219
3,6,210.3
4,6,212.3
5,6,210.2
6,6,220
7,6,0
8,6,1
1,7,1
2,7,214.1
3,7,214.3
4,7,212.2
5,7,212.1
6,7,437.2
7,7,0
8,7,1
1,8,1
2,8,210.3
3,8,211.1
4,8,221
5,8,437.1
6,8,437.1
7,8,0
8,8,1
1,9,1
2,9,437.3
3,9,212.2
4,9,216
5,9,221
6,9,218
7,9,0
8,9,1
1,10,1
2,10,215.2
3,10,214.2
4,10,215.3
5,10,219
6,10,217
7,10,0
8,10,1
1,11,1
2,11,213.3
3,11,215.2
4,11,215.1
5,11,216
6,11,214.1
7,11,0
8,11,1
1,12,1
2,12,1
3,12,1
4,12,1
5,12,1
6,12,1
7,12,1
8,12,1
