Row,Col,Strain,Dose
1,1,369,0
2,1,183,0
3,1,177,0
4,1,363,0
5,1,160,0
6,1,156,0
7,1,0,0
8,1,0,0
1,2,0,0
2,2,0,0
3,2,0,0
4,2,0,0
5,2,0,0
6,2,0,0
7,2,0,0
8,2,0,0
1,3,183,256
2,3,369,2048
3,3,177,512
4,3,177,1024
5,3,369,3072
6,3,363,1536
7,3,183,4095
8,3,0,0
1,4,369,256
2,4,183,2048
3,4,369,512
4,4,363,1024
5,4,183,3072
6,4,177,1536
7,4,177,4095
8,4,0,0
1,5,363,256
2,5,177,2048
3,5,363,512
4,5,183,1024
5,5,363,3072
6,5,183,1536
7,5,369,4095
8,5,0,0
1,6,177,256
2,6,363,2048
3,6,183,512
4,6,369,1024
5,6,177,3072
6,6,369,1536
7,6,363,4095
8,6,0,0
1,7,0,0
2,7,0,0
3,7,0,0
4,7,0,0
5,7,0,0
6,7,0,0
7,7,0,0
8,7,0,0
1,8,369,256
2,8,177,2048
3,8,177,512
4,8,369,1024
5,8,363,3072
6,8,183,1536
7,8,183,4095
8,8,0,0
1,9,183,256
2,9,369,2048
3,9,363,512
4,9,183,1024
5,9,177,3072
6,9,177,1536
7,9,369,4095
8,9,0,0
1,10,177,256
2,10,363,2048
3,10,183,512
4,10,363,1024
5,10,183,3072
6,10,369,1536
7,10,363,4095
8,10,0,0
1,11,363,256
2,11,183,2048
3,11,369,512
4,11,177,1024
5,11,369,3072
6,11,363,1536
7,11,177,4095
8,11,0,0
1,12,0,0
2,12,0,0
3,12,0,0
4,12,0,0
5,12,0,0
6,12,0,0
7,12,0,0
8,12,0,0
