Row,Col,Strain,Dose
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
1,2,0,0
2,2,0,0
3,2,0,0
4,2,0,0
5,2,0,0
6,2,0,0
7,2,0,0
8,2,0,0
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0
5,3,0,0
6,3,0,0
7,3,0,0
8,3,0,0
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0
5,4,0,0
6,4,0,0
7,4,0,0
8,4,0,0
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0
5,5,0,0
6,5,0,0
7,5,0,0
8,5,0,0
1,6,0,0
2,6,0,0
3,6,0,0
4,6,0,0
5,6,0,0
6,6,0,0
7,6,0,0
8,6,0,0
1,7,0,0
2,7,0,0
3,7,0,0
4,7,0,0
5,7,0,0
6,7,0,0
7,7,0,0
8,7,0,0
1,8,369,256
2,8,177,2048
3,8,177,512
4,8,369,1024
5,8,363,3072
6,8,183,1536
7,8,183,4095
8,8,0,0
1,9,183,256
2,9,369,2048
3,9,363,512
4,9,183,1024
5,9,177,3072
6,9,177,1536
7,9,369,4095
8,9,0,0
1,10,177,256
2,10,363,2048
3,10,183,512
4,10,363,1024
5,10,183,3072
6,10,369,1536
7,10,363,4095
8,10,0,0
1,11,363,256
2,11,183,2048
3,11,369,512
4,11,177,1024
5,11,369,3072
6,11,363,1536
7,11,177,4095
8,11,0,0
1,12,0,0
2,12,0,0
3,12,0,0
4,12,0,0
5,12,0,0
6,12,0,0
7,12,0,0
8,12,0,0
