Row,Col,Strain,Dose
1,1,204.3,1024
2,1,204.3,256
3,1,204.3,128
4,1,204.3,512
5,1,204.3,2048
6,1,0,0
7,1,204.3,4095
8,1,0,0
1,2,1202.3,1024
2,2,1202.3,256
3,2,1202.3,128
4,2,1202.3,512
5,2,1202.3,2048
6,2,0,0
7,2,1202.3,4095
8,2,0,0
1,3,228.3,1024
2,3,228.3,256
3,3,228.3,128
4,3,228.3,512
5,3,228.3,2048
6,3,0,0
7,3,228.3,4095
8,3,0,0
1,4,204.1,1024
2,4,204.1,256
3,4,204.1,128
4,4,204.1,512
5,4,204.1,2048
6,4,0,0
7,4,204.1,4095
8,4,0,0
1,5,228.2,1024
2,5,228.2,256
3,5,228.2,128
4,5,228.2,512
5,5,228.2,2048
6,5,0,0
7,5,228.2,4095
8,5,0,0
1,6,133.1,1024
2,6,133.1,256
3,6,133.1,128
4,6,133.1,512
5,6,133.1,2048
6,6,0,0
7,6,133.1,4095
8,6,0,0
1,7,1202.2,1024
2,7,1202.2,256
3,7,1202.2,128
4,7,1202.2,512
5,7,1202.2,2048
6,7,0,0
7,7,1202.2,4095
8,7,0,0
1,8,204.2,1024
2,8,204.2,256
3,8,204.2,128
4,8,204.2,512
5,8,204.2,2048
6,8,0,0
7,8,204.2,4095
8,8,0,0
1,9,1202.1,1024
2,9,1202.1,256
3,9,1202.1,128
4,9,1202.1,512
5,9,1202.1,2048
6,9,0,0
7,9,1202.1,4095
8,9,0,0
1,10,133.2,1024
2,10,133.2,256
3,10,133.2,128
4,10,133.2,512
5,10,133.2,2048
6,10,0,0
7,10,133.2,4095
8,10,0,0
1,11,133.3,1024
2,11,133.3,256
3,11,133.3,128
4,11,133.3,512
5,11,133.3,2048
6,11,0,0
7,11,133.3,4095
8,11,0,0
1,12,228.1,1024
2,12,228.1,256
3,12,228.1,128
4,12,228.1,512
5,12,228.1,2048
6,12,0,0
7,12,228.1,4095
8,12,0,0
